------------------------------------------------------------
2025-05-12 09:12:22 UTC   Services Configuration Information
------------------------------------------------------------

                                                                                                              Prefetch  ---------------------- Auditing -----------------------
Package                    Service Name                              Stateless  Caching  Cache TTL  Prefetch  Level     Enable          Log On                 Include Pipeline
MCUMConsumer               MCUMConsumer.adapters:getUSSDConfig       true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ....adapters:getUSSDReceiverRelatedParty  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:getUSSDSession      true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:insertAccessKey     true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:insertAttachments   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsumer.adapters:insertBulkAttachments  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...adapters:insertBulkCharacteristicData  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...s:insertBulkCommunicationBulkReceiver  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...apters:insertBulkCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...tBulkCommunicationMessageLinkReceiver  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:insertBulkMessage   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:insertCallbackUrl   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.adapters:insertCharacteristicData  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:insertCharset       true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...r.adapters:insertCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsertCommunicationMessageLinkReceiver  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.adapters:insertCountryConfig  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:insertParty         true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...r.adapters:insertPayloadScheduleTable  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:insertReceiver      true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:insertSender        true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...:insertSenderCommunicationMsgLinkData  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.adapters:insertTransAnalyticsRec  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:isBatchIdExists     true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:isMessageIdExists   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:updateBatchState    true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:updateCallbackUrl   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:updateCharset       true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.adapters:updateCountryConfig  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.adapters:updateInfobipSMSStatus  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:updateParty         true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.adapters:updatePublicHoliday  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:updateReceiver      true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.adapters:updateReceiverEmail  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.adapters:updateReceiverPhNumber  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.adapters:updateSMSMultipartData  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.adapters:updateSender        true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.adapters:updateTransAnalyticsRec  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.handlers:registerHandler     true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.handlers:unitelhandlerService  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...s.priv:addCollectionNameToCollections  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:addReceiver    true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:addSender      true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...rvices.priv:checkAndAddCollectionName  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...er.services.priv:checkMessageID_Cache  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...r.services.priv:countryProcessMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:createDefaultIndexs  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.services.priv:createMultipartSMS  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:deleteCharset  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:deleteCountryConfig  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:deletePublicHoliday  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.services.priv:determineStatus  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services.priv:getAccessKeyRefId  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.services.priv:getBulkMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:getCallbackURLCreds  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.services.priv:getCharacterset  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ....services.priv:getComDetailsForResend  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsumer.services.priv:getCommunication  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:getConfig      true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsumer.services.priv:getContentFromS3  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsumer.services.priv:getCountryConfig  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...ervices.priv:getDocumentDbCollections  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...ces.priv:getDocumentDbCollectionsList  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services.priv:getPublicHolidays  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:getReceivers   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.services.priv:getRelatedPartyIds  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...es.priv:getRequiredDetailsforCallback  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:getSenderIDs   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:getSenders     true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:getUSSDConfig  true       false    N/A        false     N/A       Never           Error                  Never           
